时间,值_x,值_y
2024-05-27 11:11:40,430.96347,13.3209229
2024-05-27 11:11:35,431.950775,13.3239746
2024-05-27 11:11:30,431.628479,13.3026123
2024-05-27 11:11:25,428.13208,13.3209229
2024-05-27 11:11:20,434.62085,13.3026123
2024-05-27 11:11:15,435.498047,13.3056641
2024-05-27 11:11:10,436.9259,13.3026123
2024-05-27 11:11:05,434.717133,13.2965088
2024-05-27 11:11:00,431.492584,13.2995605
2024-05-27 11:10:55,434.819855,13.3026123
2024-05-27 11:10:50,440.547852,13.2873535
2024-05-27 11:10:45,436.087158,13.28125
2024-05-27 11:10:40,438.199432,13.2873535
2024-05-27 11:10:35,436.908569,13.2995605
2024-05-27 11:10:30,437.732849,13.28125
2024-05-27 11:10:25,438.5665,13.2843018
2024-05-27 11:10:20,436.5697,13.2415771
2024-05-27 11:10:15,434.909271,13.269043
2024-05-27 11:10:10,435.1695,13.2446289
2024-05-27 11:10:05,439.102142,13.2385254
2024-05-27 11:10:00,434.868652,13.2659912
2024-05-27 11:09:55,438.428253,13.2415771
2024-05-27 11:09:50,437.858917,13.2446289
2024-05-27 11:09:45,440.128571,13.2415771
2024-05-27 11:09:40,437.062225,13.2720947
2024-05-27 11:09:35,439.079681,13.2659912
2024-05-27 11:09:30,432.227478,13.2751465
2024-05-27 11:09:25,434.495117,13.2843018
2024-05-27 11:09:20,437.0228,13.2385254
2024-05-27 11:09:15,435.236145,13.3026123
2024-05-27 11:09:10,435.46637,13.2659912
2024-05-27 11:09:05,437.6148,13.2873535
2024-05-27 11:09:00,432.647583,13.2720947
2024-05-27 11:08:55,430.690369,13.2873535
2024-05-27 11:08:50,431.524475,13.269043
2024-05-27 11:08:45,434.082184,13.2843018
2024-05-27 11:08:40,431.60907,13.2904053
2024-05-27 11:08:35,429.0441,13.2629395
2024-05-27 11:08:30,431.724121,13.2873535
2024-05-27 11:08:25,432.341034,13.2843018
2024-05-27 11:08:20,430.054352,13.28125
2024-05-27 11:08:15,426.094757,13.2995605
2024-05-27 11:08:10,427.8181,13.3209229
2024-05-27 11:08:05,430.999939,13.3026123
2024-05-27 11:08:00,427.9357,13.3239746
2024-05-27 11:07:55,426.3965,13.3209229
2024-05-27 11:07:50,427.0926,13.3026123
2024-05-27 11:07:45,424.4274,13.3026123
2024-05-27 11:07:40,426.6406,13.3178711
2024-05-27 11:07:35,423.476563,13.3239746
2024-05-27 11:07:30,421.572021,13.3239746
2024-05-27 11:07:25,420.8875,13.3270264
2024-05-27 11:07:20,422.520081,13.3056641
2024-05-27 11:07:15,424.011353,13.3056641
2024-05-27 11:07:10,424.072357,13.3392334
2024-05-27 11:07:05,426.710419,13.3087158
2024-05-27 11:07:00,418.999878,13.3178711
2024-05-27 11:06:55,423.145081,13.3209229
2024-05-27 11:06:50,422.746765,13.3392334
2024-05-27 11:06:45,423.7338,13.3209229
2024-05-27 11:06:40,420.601318,13.3392334
2024-05-27 11:06:35,424.5683,13.3239746
2024-05-27 11:06:30,427.420654,13.3392334
2024-05-27 11:06:25,424.04953,13.3209229
2024-05-27 11:06:20,423.8392,13.3209229
2024-05-27 11:06:15,422.1078,13.3361816
2024-05-27 11:06:10,424.544952,13.3239746
2024-05-27 11:06:05,421.455566,13.3209229
2024-05-27 11:06:00,427.5144,13.3209229
2024-05-27 11:05:55,424.74173,13.3239746
2024-05-27 11:05:50,425.5545,13.3361816
2024-05-27 11:05:45,428.712,13.3209229
2024-05-27 11:05:40,433.621735,13.3239746
2024-05-27 11:05:35,424.840057,13.3056641
2024-05-27 11:05:30,428.152,13.3239746
2024-05-27 11:05:25,434.104126,13.2873535
2024-05-27 11:05:20,425.993774,13.2873535
2024-05-27 11:05:15,426.8937,13.3239746
2024-05-27 11:05:10,425.0951,13.3361816
2024-05-27 11:05:05,430.600464,13.3056641
2024-05-27 11:05:00,427.915344,13.3026123
2024-05-27 11:04:55,429.3878,13.3087158
2024-05-27 11:04:50,432.889954,13.2965088
2024-05-27 11:04:45,433.227875,13.3056641
2024-05-27 11:04:40,437.7235,13.3026123
2024-05-27 11:04:35,432.0055,13.3178711
2024-05-27 11:04:30,430.357971,13.2873535
2024-05-27 11:04:25,436.03064,13.3026123
2024-05-27 11:04:20,435.6227,13.3026123
2024-05-27 11:04:15,435.5322,13.3026123
2024-05-27 11:04:10,433.789551,13.3026123
2024-05-27 11:04:05,438.229767,13.3178711
2024-05-27 11:04:00,438.556274,13.3178711
2024-05-27 11:03:55,437.120361,13.3026123
2024-05-27 11:03:50,437.643921,13.3209229
2024-05-27 11:03:45,438.248566,13.3361816
2024-05-27 11:03:40,433.552979,13.3392334
2024-05-27 11:03:35,433.954773,13.3422852
2024-05-27 11:03:30,436.349,13.3666992
2024-05-27 11:03:25,434.9876,13.3422852
2024-05-27 11:03:20,437.7663,13.3361816
2024-05-27 11:03:15,434.473724,13.3392334
2024-05-27 11:03:10,430.369781,13.369751
2024-05-27 11:03:05,429.462219,13.3636475
2024-05-27 11:03:00,431.9204,13.3666992
2024-05-27 11:02:55,434.337463,13.3666992
2024-05-27 11:02:50,431.8675,13.3666992
2024-05-27 11:02:45,433.3034,13.3666992
2024-05-27 11:02:40,434.428619,13.38501
2024-05-27 11:02:35,432.807068,13.394165
2024-05-27 11:02:30,431.9486,13.3605957
2024-05-27 11:02:25,432.6034,13.3666992
2024-05-27 11:02:20,434.165863,13.3422852
2024-05-27 11:02:15,428.079285,13.369751
2024-05-27 11:02:10,437.984528,13.3666992
2024-05-27 11:02:05,437.2138,13.369751
2024-05-27 11:02:00,430.9665,13.3605957
2024-05-27 11:01:55,427.8723,13.3453369
2024-05-27 11:01:50,430.5742,13.3392334
2024-05-27 11:01:45,434.554565,13.3422852
2024-05-27 11:01:40,428.433,13.33313
2024-05-27 11:01:35,427.605255,13.3056641
2024-05-27 11:01:30,427.4843,13.3239746
2024-05-27 11:01:25,422.495361,13.3209229
2024-05-27 11:01:20,425.8685,13.3209229
2024-05-27 11:01:15,427.4994,13.3056641
2024-05-27 11:01:10,425.0311,13.2904053
2024-05-27 11:01:05,426.332062,13.2843018
2024-05-27 11:01:00,425.9635,13.2995605
